id,name,openingHours,description,address,city,latitude,longitude,capacity,isLocked,code,isBusy,lastUpdate,createdAt
20,TownePlace Suites by Marriott Albany University Area,8:00 AM-9:00 PM,"This eco-friendly hotel, with its sustainable design and green initiatives, offers a responsible and environmentally conscious stay for guests who care about the planet.",1379 Washington Ave,Albany,42.6867,-73.8151,300,false,2872,false,5/14/2023 10:44,5/14/2023 10:44
21,Travelodge Inn And Suites Albany,8:00 AM-9:30 PM,"Surrounded by majestic mountains and pristine lakes, this secluded lodge offers a peaceful and secluded escape from the hustle and bustle of everyday life.",42 Wolf Road,Albany,42.7119,-73.8171,200,true,4952,true,5/14/2023 10:44,5/14/2023 10:44
22,Red Roof Inn Albany Airport,9:30 AM-11:30 PM,"This opulent hotel, with its grand ballrooms and ornate architecture, exudes a sense of timeless elegance and sophistication.",188 Wolf Rd,Albany,42.724,-73.801,100,false,6137,false,5/14/2023 10:44,5/14/2023 10:44
23,Best Western Albany Airport Inn,9:00 AM-10:30 PM,"This opulent hotel, with its grand ballrooms and ornate architecture, exudes a sense of timeless elegance and sophistication.",200 Wolf Rd,Albany,42.7218,-73.8024,200,false,3135,false,5/14/2023 10:44,5/14/2023 10:44
24,Hampton Inn Albany-Wolf Road (Airport),9:30 AM-9:30 PM,"With its sweeping ocean views, private beach access, and top-notch amenities, this seaside resort offers the ultimate luxury vacation experience",10 Ulenski Dr,Albany,42.7244,-73.7966,200,false,7357,false,5/14/2023 10:44,5/14/2023 10:44
25,Days Inn Albany SUNY,7:00 AM-10:30 PM,"This cozy bed and breakfast, with its charming decor and personalized service, offers a warm and inviting home away from home for travelers seeking a more intimate experience.",1230 Western Avenue,Albany,42.6782,-73.8284,300,true,5357,true,5/14/2023 10:44,5/14/2023 10:44
26,Homewood Suites by Hilton Albany,8:30 AM-10:00 PM,"With its world-class golf courses, stunning natural surroundings, and luxurious accommodations, this golf resort is a dream destination for golfers and outdoor enthusiasts alike.",216 Wolf Rd,Albany,42.7252,-73.7982,250,true,8217,true,5/14/2023 10:44,5/14/2023 10:44
27,Extended Stay America - Albany - SUNY,7:30 AM-10:00 PM,"This budget-friendly hotel, with its clean and comfortable rooms and friendly staff, provides a convenient and affordable option for travelers on a budget.",1395 Washington Ave,Albany,42.688,-73.8173,300,true,2054,true,5/14/2023 10:44,5/14/2023 10:44
28,SpringHill Suites by Marriott Albany-Colonie,9:30 AM-9:00 PM,"With its world-class golf courses, stunning natural surroundings, and luxurious accommodations, this golf resort is a dream destination for golfers and outdoor enthusiasts alike.",8 California Ave,Albany,42.7037,-73.8158,250,false,9411,false,5/14/2023 10:44,5/14/2023 10:44
29,Quality Inn Central,8:30 AM-10:00 PM,This luxurious hotel boasts a prime location in the heart of the city and features stunning panoramic views of the skyline.,1632 Central Ave,Albany,42.7198,-73.8353,200,false,4820,true,5/14/2023 10:44,5/14/2023 10:44
30,Econo Lodge Colonie Center Mall,7:30 AM-11:30 PM,"This cozy bed and breakfast, with its charming decor and personalized service, offers a warm and inviting home away from home for travelers seeking a more intimate experience.",1630 Central Ave,Albany,42.7195,-73.835,100,false,5037,false,5/14/2023 10:44,5/14/2023 10:44
31,TownePlace Suites by Marriott Albany Downtown/Medical Center,7:00 AM-9:00 PM,"Located in a bustling neighborhood with plenty of restaurants and nightlife, this trendy hotel is the ideal base for exploring the city's vibrant culture.",22 Holland Ave,Albany,42.6465,-73.7721,300,false,3781,true,5/14/2023 10:44,5/14/2023 10:44
32,Fairfield Inn by Marriott Albany University Area,7:30 AM-10:30 PM,"This opulent hotel, with its grand ballrooms and ornate architecture, exudes a sense of timeless elegance and sophistication.",1383 Washington Avenue,Albany,42.6868,-73.8151,150,true,7379,true,5/14/2023 10:44,5/14/2023 10:44
33,Motel 6 - Albany Airport,8:30 AM-11:30 PM,"With its sleek, modern design and top-notch amenities, this chic hotel offers a stylish and sophisticated stay for discerning travelers.",1600 Central Ave,Albany,42.7178,-73.8332,100,false,2411,true,5/14/2023 10:44,5/14/2023 10:44
34,"Motel 6 Albany, New York",9:30 AM-9:00 PM,"With its prime location in the heart of the city's business district, this upscale hotel is the perfect choice for business travelers seeking convenience and comfort.",100 Watervliet Ave,Albany,42.6797,-73.783,250,false,7326,false,5/14/2023 10:44,5/14/2023 10:44
35,Home2 Suites by Hilton Albany Airport/Wolf Rd,9:00 AM-9:30 PM,"This opulent hotel, with its grand ballrooms and ornate architecture, exudes a sense of timeless elegance and sophistication.",10 Metro Park Road,Albany,42.7185,-73.8002,100,false,6274,true,5/14/2023 10:44,5/14/2023 10:44
36,Staybridge Suites Albany Wolf Rd-Colonie Center,9:30 AM-9:30 PM,"With its world-class spa, fine dining restaurant, and luxurious accommodations, this resort is the ultimate indulgence for those seeking a pampering and luxurious getaway.",39 Wolf Rd,Albany,42.7114,-73.8181,300,false,4132,true,5/14/2023 10:44,5/14/2023 10:44
37,Fairfield Inn & Suites by Marriott Albany Downtown,9:00 AM-9:30 PM,"This historic hotel, with its charming antique decor and traditional architecture, offers a unique and authentic experience for guests seeking a taste of the past.",74 State Street,Albany,42.6496,-73.7522,200,false,7325,false,5/14/2023 10:44,5/14/2023 10:44
38,Renaissance Albany Hotel,7:00 AM-10:00 PM,"Set amid acres of lush greenery and pristine wilderness, this rustic lodge offers a peaceful and rejuvenating retreat for nature lovers and outdoor enthusiasts.",144 State Street,Albany,42.6508,-73.7559,300,false,5050,false,5/14/2023 10:44,5/14/2023 10:44
39,Red Carpet Inn & Suites - Albany Airport,9:30 AM-11:30 PM,"With its sweeping ocean views, private beach access, and top-notch amenities, this seaside resort offers the ultimate luxury vacation experience",1579 Central Avenue,Albany,42.7167,-73.8305,150,false,2408,true,5/14/2023 10:44,5/14/2023 10:44
40,Gallets House B&B,9:30 AM-10:30 PM,"This contemporary hotel, with its sleek design and cutting-edge technology, offers a dynamic and high-energy atmosphere for guests seeking excitement and adventure.",1759 Four Mile Rd,Allegany,42.0767,-78.4966,150,true,7519,false,5/14/2023 10:44,5/14/2023 10:44
41,Tailwater Lodge,7:00 AM-10:00 PM,"With its sleek, modern design and top-notch amenities, this chic hotel offers a stylish and sophisticated stay for discerning travelers.",52 Pulaski St,Altmar,43.5138,-76.005,250,false,3090,false,5/14/2023 10:44,5/14/2023 10:44
42,Homewood Suites by Hilton Buffalo/Amherst,7:30 AM-10:00 PM,"Set amid acres of lush greenery and pristine wilderness, this rustic lodge offers a peaceful and rejuvenating retreat for nature lovers and outdoor enthusiasts.",1138 Millersport Hwy,Amherst,42.9824,-78.7964,250,true,2229,false,5/14/2023 10:44,5/14/2023 10:44
43,DoubleTree by Hilton Hotel Buffalo - Amherst,9:00 AM-9:00 PM,"With its prime location in the heart of the city's business district, this upscale hotel is the perfect choice for business travelers seeking convenience and comfort.",10 Flint Rd,Amherst,42.9903,-78.7922,150,false,8518,false,5/14/2023 10:44,5/14/2023 10:44
44,Comfort Inn University,8:00 AM-9:30 PM,"This family-friendly hotel, with its spacious rooms and fun-filled amenities, provides a welcoming and entertaining environment for guests of all ages.",1 Flint Rd,Amherst,42.9906,-78.7922,250,false,5545,false,5/14/2023 10:44,5/14/2023 10:44
45,Red Roof Inn PLUS+ University at Buffalo - Amherst,8:30 AM-9:30 PM,"With its sleek, modern design and top-notch amenities, this chic hotel offers a stylish and sophisticated stay for discerning travelers.",42 Flint Rd,Amherst,42.9899,-78.7924,150,true,1101,false,5/14/2023 10:44,5/14/2023 10:44
46,Residence Inn Buffalo Amherst,7:30 AM-9:30 PM,"Nestled among lush tropical gardens, this boutique hotel offers a serene and tranquil retreat for guests seeking peace and relaxation.",100 Maple Rd,Amherst,42.9914,-78.784,200,true,5826,false,5/14/2023 10:44,5/14/2023 10:44
47,Buffalo Marriott Niagara,9:00 AM-9:00 PM,"Nestled among lush tropical gardens, this boutique hotel offers a serene and tranquil retreat for guests seeking peace and relaxation.",1340 Millersport Hwy,Amherst,42.9889,-78.7916,300,true,6636,true,5/14/2023 10:44,5/14/2023 10:44
48,Extended Stay America - Buffalo - Amherst,8:30 AM-10:30 PM,"With its world-class golf courses, stunning natural surroundings, and luxurious accommodations, this golf resort is a dream destination for golfers and outdoor enthusiasts alike.",125 Inn Keepers Ln,Amherst,43.0057,-78.8183,300,false,9832,false,5/14/2023 10:44,5/14/2023 10:44
49,Staybridge Suites Buffalo-Amherst,7:00 AM-11:00 PM,"This contemporary hotel, with its sleek design and cutting-edge technology, offers a dynamic and high-energy atmosphere for guests seeking excitement and adventure.",1290 Sweethome Rd,Amherst,42.997,-78.7998,250,false,6599,false,5/14/2023 10:44,5/14/2023 10:44
50,Courtyard by Marriott Buffalo Amherst/University,7:00 AM-10:30 PM,"With its world-class spa, fine dining restaurant, and luxurious accommodations, this resort is the ultimate indulgence for those seeking a pampering and luxurious getaway.",4100 Sheridan Dr,Amherst,42.9785,-78.7808,100,false,1938,false,5/14/2023 10:44,5/14/2023 10:44
51,Sleep Inn,8:30 AM-9:00 PM,"With its sleek, modern design and top-notch amenities, this chic hotel offers a stylish and sophisticated stay for discerning travelers.",75 Inn Keepers Ln,Amherst,43.0064,-78.8191,250,true,4202,true,5/14/2023 10:44,5/14/2023 10:44
52,Motel 6 Buffalo - Amherst,7:30 AM-9:00 PM,"With its world-class golf courses, stunning natural surroundings, and luxurious accommodations, this golf resort is a dream destination for golfers and outdoor enthusiasts alike.",4400 Maple Rd,Amherst,42.9907,-78.8019,200,false,2634,true,5/14/2023 10:44,5/14/2023 10:44
53,Rodeway Inn & Suites,7:30 AM-9:30 PM,"Located in a bustling neighborhood with plenty of restaurants and nightlife, this trendy hotel is the ideal base for exploring the city's vibrant culture.",1951 Niagara Falls Blvd,Amherst,43.0075,-78.8222,200,true,7610,true,5/14/2023 10:44,5/14/2023 10:44
54,University Manor Inn,9:00 AM-9:30 PM,"This family-friendly hotel, with its spacious rooms and fun-filled amenities, provides a welcoming and entertaining environment for guests of all ages.",3612 Main Street,Amherst,42.9591,-78.8151,100,true,6384,true,5/14/2023 10:44,5/14/2023 10:44
55,Hyatt Place Buffalo/Amherst,9:30 AM-10:00 PM,"This historic hotel, with its charming antique decor and traditional architecture, offers a unique and authentic experience for guests seeking a taste of the past.",5020 Main Street,Amherst,42.9593,-78.7699,200,true,1056,false,5/14/2023 10:44,5/14/2023 10:44
56,Candlewood Suites Buffalo - Amherst,8:30 AM-11:00 PM,"Located in a bustling neighborhood with plenty of restaurants and nightlife, this trendy hotel is the ideal base for exploring the city's vibrant culture.",20 Flint Road,Amherst,42.9903,-78.7923,300,true,3748,false,5/14/2023 10:44,5/14/2023 10:44
57,Super 8 - Amsterdam,7:00 AM-10:00 PM,"This cozy bed and breakfast, with its charming decor and personalized service, offers a warm and inviting home away from home for travelers seeking a more intimate experience.",5502 Rte 30 South I 90 Exit 27,Amsterdam,42.9256,-74.2023,150,true,1177,true,5/14/2023 10:44,5/14/2023 10:44
58,Knights Inn Amsterdam,9:00 AM-10:30 PM,"This eco-friendly hotel, with its sustainable design and green initiatives, offers a responsible and environmentally conscious stay for guests who care about the planet.",Route 5S,Amsterdam,42.9289,-74.2007,150,true,4486,false,5/14/2023 10:44,5/14/2023 10:44
59,Comfort Inn,9:30 AM-10:30 PM,"This contemporary hotel, with its sleek design and cutting-edge technology, offers a dynamic and high-energy atmosphere for guests seeking excitement and adventure.",7662 State Rte 434,Apalachin,42.0611,-76.1436,200,true,5086,true,5/14/2023 10:44,5/14/2023 10:44
60,Quality Inn Binghamton West,9:00 AM-11:30 PM,This luxurious hotel boasts a prime location in the heart of the city and features stunning panoramic views of the skyline.,7666 Route 434,Apalachin,42.0599,-76.1439,250,true,4597,false,5/14/2023 10:44,5/14/2023 10:44
61,Ardsley Acres Hotel Westchester,9:30 AM-9:00 PM,"With its sleek, modern design and top-notch amenities, this chic hotel offers a stylish and sophisticated stay for discerning travelers.",560 Saw Mill River Rd,Ardsley,41.0087,-73.8515,200,false,8938,true,5/14/2023 10:44,5/14/2023 10:44
62,La Quinta inn & Suites Armonk Westchester County Airport,7:00 AM-11:30 PM,"This cozy bed and breakfast, with its charming decor and personalized service, offers a warm and inviting home away from home for travelers seeking a more intimate experience.",94 Business Park Dr,Armonk,41.1197,-73.7083,100,false,2484,false,5/14/2023 10:44,5/14/2023 10:44
63,Fairfield Inn by Marriott New York LaGuardia Airport/Astoria,7:00 AM-10:30 PM,"With its sweeping ocean views, private beach access, and top-notch amenities, this seaside resort offers the ultimate luxury vacation experience",45-20 Astoria Blvd.,Astoria,40.7679,-73.9056,200,false,5651,false,5/14/2023 10:44,5/14/2023 10:44
64,"Super 8 Long Island City, LGA Hotel",7:30 AM-9:30 PM,"Set amid acres of lush greenery and pristine wilderness, this rustic lodge offers a peaceful and rejuvenating retreat for nature lovers and outdoor enthusiasts.",31-62 14th Street,Astoria,40.7668,-73.9335,150,false,2083,true,5/14/2023 10:44,5/14/2023 10:44
65,Stewart House at the Athens Hotel,9:30 AM-9:00 PM,"With its prime location in the heart of the city's business district, this upscale hotel is the perfect choice for business travelers seeking convenience and comfort.",2 North Water Street,Athens,42.2598,-73.808,250,true,9834,true,5/14/2023 10:44,5/14/2023 10:44
66,Hilton Garden Inn Auburn,7:30 AM-9:00 PM,"With its sleek, modern design and top-notch amenities, this chic hotel offers a stylish and sophisticated stay for discerning travelers.",74 State St,Auburn,42.9331,-76.5695,250,true,9589,false,5/14/2023 10:44,5/14/2023 10:44
67,Days Inn Auburn Fingerlakes,9:00 AM-9:00 PM,"Situated in a historic building with a vibrant cultural heritage, this charming hotel offers a unique blend of old-world charm and modern amenities.",37 William St,Auburn,42.9283,-76.5663,250,false,8109,false,5/14/2023 10:44,5/14/2023 10:44
68,Auburn Inn,9:00 AM-10:00 PM,"This opulent hotel, with its grand ballrooms and ornate architecture, exudes a sense of timeless elegance and sophistication.",19 McMaster St,Auburn,42.932,-76.5738,200,false,1947,true,5/14/2023 10:44,5/14/2023 10:44
69,Holiday Inn Auburn-Finger Lakes Region,9:30 AM-9:30 PM,"With its world-class golf courses, stunning natural surroundings, and luxurious accommodations, this golf resort is a dream destination for golfers and outdoor enthusiasts alike.",75 North St,Auburn,42.9346,-76.5664,200,false,8029,false,5/14/2023 10:44,5/14/2023 10:44
70,Skaneateles Suites,9:00 AM-10:30 PM,"This beachfront resort, with its white sand beaches and crystal clear waters, provides the perfect setting for a romantic getaway or family vacation.",4114 E Genesee Street,Auburn,42.9429,-76.4695,150,true,3365,false,5/14/2023 10:44,5/14/2023 10:44
71,Inn at the Finger Lakes,7:00 AM-10:30 PM,"This boutique hotel, with its intimate setting and curated amenities, offers a personalized and bespoke experience for guests seeking something truly unique and special.",12 Seminary Ave,Auburn,42.9342,-76.5623,150,true,8023,true,5/14/2023 10:44,5/14/2023 10:44
72,The Red Mill Inn,8:30 AM-9:00 PM,This luxurious hotel boasts a prime location in the heart of the city and features stunning panoramic views of the skyline.,4 Syracuse St,Baldwinsville,43.1561,-76.332,100,false,3748,true,5/14/2023 10:44,5/14/2023 10:44
73,Microtel Inn & Suites by Wyndham Baldwinsville/Syracuse,7:30 AM-11:00 PM,"Set amid acres of lush greenery and pristine wilderness, this rustic lodge offers a peaceful and rejuvenating retreat for nature lovers and outdoor enthusiasts.",131 Downer St,Baldwinsville,43.1513,-76.3453,250,false,3238,true,5/14/2023 10:44,5/14/2023 10:44
74,Baldwinsville Bed and Breakfast,9:30 AM-9:00 PM,"Nestled among lush tropical gardens, this boutique hotel offers a serene and tranquil retreat for guests seeking peace and relaxation.",70 Oswego Street,Baldwinsville,43.161,-76.3338,300,true,7414,true,5/14/2023 10:44,5/14/2023 10:44
75,Roosevelt Inn And Suites,8:30 AM-10:30 PM,"This eco-friendly hotel, with its sustainable design and green initiatives, offers a responsible and environmentally conscious stay for guests who care about the planet.",2961 State Route 9,Ballston Spa,43.0271,-73.7924,250,false,8936,false,5/14/2023 10:44,5/14/2023 10:44
76,Catskill Mountains Resort,8:30 AM-9:30 PM,"This budget-friendly hotel, with its clean and comfortable rooms and friendly staff, provides a convenient and affordable option for travelers on a budget.",211 Mail Rd,Barryville,41.5076,-74.923,300,true,7091,true,5/14/2023 10:44,5/14/2023 10:44
77,Hampton Inn Batavia,7:30 AM-9:30 PM,"This opulent hotel, with its grand ballrooms and ornate architecture, exudes a sense of timeless elegance and sophistication.",4360 Commerce Dr,Batavia,43.0201,-78.1943,200,true,5268,true,5/14/2023 10:44,5/14/2023 10:44
78,Best Western Crown Inn & Suites,8:30 AM-10:00 PM,"This family-friendly hotel, with its spacious rooms and fun-filled amenities, provides a welcoming and entertaining environment for guests of all ages.",8210 Park Rd,Batavia,43.0166,-78.1955,300,true,9896,true,5/14/2023 10:44,5/14/2023 10:44
79,Holiday Inn Express Hotel & Suites Batavia - Darien Lake,8:00 AM-10:30 PM,"With its prime location in the heart of the city's business district, this upscale hotel is the perfect choice for business travelers seeking convenience and comfort.",4356 Commerce Dr,Batavia,43.0198,-78.1943,100,true,9864,false,5/14/2023 10:44,5/14/2023 10:44
80,Comfort Inn,8:00 AM-11:00 PM,"Located in a bustling neighborhood with plenty of restaurants and nightlife, this trendy hotel is the ideal base for exploring the city's vibrant culture.",4371 Federal Dr,Batavia,43.021,-78.1927,200,false,7898,true,5/14/2023 10:44,5/14/2023 10:44
81,La Quinta Inn & Suites Batavia,7:00 AM-10:00 PM,"This opulent hotel, with its grand ballrooms and ornate architecture, exudes a sense of timeless elegance and sophistication.",8200 Park Rd,Batavia,43.0161,-78.1922,200,false,6154,false,5/14/2023 10:44,5/14/2023 10:44
82,Quality Inn & Suites Palm Island Indoor Waterpark,7:30 AM-11:30 PM,"This budget-friendly hotel, with its clean and comfortable rooms and friendly staff, provides a convenient and affordable option for travelers on a budget.",8250 Park Rd,Batavia,43.0164,-78.1941,250,false,2374,false,5/14/2023 10:44,5/14/2023 10:44
83,Red Roof Inn Batavia,7:30 AM-11:00 PM,"Nestled among lush tropical gardens, this boutique hotel offers a serene and tranquil retreat for guests seeking peace and relaxation.",8204 Park Rd,Batavia,43.0161,-78.1923,100,false,7849,true,5/14/2023 10:44,5/14/2023 10:44
84,Super 8 Batavia E Of Darien Lake Theme Park,7:30 AM-9:00 PM,"This budget-friendly hotel, with its clean and comfortable rooms and friendly staff, provides a convenient and affordable option for travelers on a budget.",200a Oak St,Batavia,43.0146,-78.1921,200,false,5412,true,5/14/2023 10:44,5/14/2023 10:44
85,Days Inn Batavia,8:30 AM-10:30 PM,"This family-friendly hotel, with its spacious rooms and fun-filled amenities, provides a welcoming and entertaining environment for guests of all ages.",200 Oak St,Batavia,43.0146,-78.1921,300,true,3847,false,5/14/2023 10:44,5/14/2023 10:44
86,Microtel Inn & Suites by Wyndham Bath,7:00 AM-11:30 PM,"This beachfront resort, with its white sand beaches and crystal clear waters, provides the perfect setting for a romantic getaway or family vacation.",370 W Morris Street,Bath,42.3396,-77.3343,250,true,8482,true,5/14/2023 10:44,5/14/2023 10:44
87,Super 8 Bath Hammondsport Area,7:30 AM-10:00 PM,"This historic hotel, with its charming antique decor and traditional architecture, offers a unique and authentic experience for guests seeking a taste of the past.",333 W Morris Street,Bath,42.3362,-77.3294,150,false,7890,false,5/14/2023 10:44,5/14/2023 10:44
88,Days Inn Bath Hammondsport,9:30 AM-10:30 PM,"Situated in a historic building with a vibrant cultural heritage, this charming hotel offers a unique blend of old-world charm and modern amenities.",330 W Morris St,Bath,42.3362,-77.3294,250,false,5575,false,5/14/2023 10:44,5/14/2023 10:44
89,Budget Inn Bath,7:30 AM-9:30 PM,"With its sleek, modern design and top-notch amenities, this chic hotel offers a stylish and sophisticated stay for discerning travelers.",332 W. Morris Street,Bath,42.3366,-77.3304,250,true,9025,true,5/14/2023 10:44,5/14/2023 10:44
90,Bay Shore Inn,8:30 AM-11:30 PM,"This family-friendly hotel, with its spacious rooms and fun-filled amenities, provides a welcoming and entertaining environment for guests of all ages.",300 Bay Shore Rd,Bay Shore,40.7322,-73.2766,200,true,7812,true,5/14/2023 10:44,5/14/2023 10:44
91,Travelodge Bay Shore Long Island,7:00 AM-10:00 PM,"Set amid acres of lush greenery and pristine wilderness, this rustic lodge offers a peaceful and rejuvenating retreat for nature lovers and outdoor enthusiasts.",501 E Main Street,Bay Shore,40.7273,-73.2314,250,false,8560,false,5/14/2023 10:44,5/14/2023 10:44
92,Adria Hotel And Conference Center,8:00 AM-11:00 PM,"Nestled among lush tropical gardens, this boutique hotel offers a serene and tranquil retreat for guests seeking peace and relaxation.",221-17 Northern Blvd,Bayside,40.7618,-73.7597,200,false,3624,false,5/14/2023 10:44,5/14/2023 10:44
93,Anchor Inn,8:00 AM-10:30 PM,"This budget-friendly hotel, with its clean and comfortable rooms and friendly staff, provides a convenient and affordable option for travelers on a budget.",215-34 Northern Blvd,Bayside,40.7608,-73.7661,300,true,5927,false,5/14/2023 10:44,5/14/2023 10:44
94,Best Western Queens Gold Coast,8:00 AM-11:30 PM,"This contemporary hotel, with its sleek design and cutting-edge technology, offers a dynamic and high-energy atmosphere for guests seeking excitement and adventure.",220-33 Northern Blvd,Bayside,40.7617,-73.7606,100,true,7690,false,5/14/2023 10:44,5/14/2023 10:44
95,The Roundhouse,8:30 AM-9:30 PM,"This historic hotel, with its charming antique decor and traditional architecture, offers a unique and authentic experience for guests seeking a taste of the past.",2 E Main St,Beacon,41.5025,-73.9625,200,false,9857,true,5/14/2023 10:44,5/14/2023 10:44
96,Bellerose Inn,8:30 AM-9:30 PM,This luxurious hotel boasts a prime location in the heart of the city and features stunning panoramic views of the skyline.,249-05 Jericho Turnpike,Bellerose,40.7266,-73.7156,100,false,3763,true,5/14/2023 10:44,5/14/2023 10:44
97,SpringHill Suites by Marriott Long Island Brookhaven,8:00 AM-11:00 PM,"This contemporary hotel, with its sleek design and cutting-edge technology, offers a dynamic and high-energy atmosphere for guests seeking excitement and adventure.",2 Sawgrass Dr,Bellport,40.8086,-72.9477,150,false,7167,false,5/14/2023 10:44,5/14/2023 10:44
98,Maple Springs Lake Side Inn,9:30 AM-9:30 PM,"This contemporary hotel, with its sleek design and cutting-edge technology, offers a dynamic and high-energy atmosphere for guests seeking excitement and adventure.",4696 Chautauqua Avenue,Bemus Point,42.1931,-79.4179,100,false,8261,false,5/14/2023 10:44,5/14/2023 10:44
